Name,Bid(s),Product Group,Material,Batch, Gauge , Width ,Length Ft, Weight lbs ,Ordered Grade,Comment,Notes 1,ID,OD,Heat No,C,Mn,P,S,Si,Al Metal,Al Total,Ti,Nb,B,Cu,As,Co,Cr,Mo,N,Ni,Pb,V
Offer1,98,AL,AL-SAL,5301341990,0.081,42.635,1761,20326,USIBOR® 1500 Conv to 950Y1300T,,Scratch,24,53,144982,0,1.156,0.01,0.0014,0.243,0,0.037,0.039,0.001,0.0035,0.029,0.003,0,0.201,0.004,0.0054,0.016,0.001,0
Offer2,48,AL,AL-SEC,4402361640,0.023,44.738,2759,9612,CS TYPE B,,Warmer/Transition,24,39,70251,0.08,0.412,0.0142,0.0048,0.015,0.029,0.0355,0.0009,0.0016,0.0001,0.02,0.0014,0.002,0.023,0.004,0.0034,0.013,0.001,0.001
Offer3,48,AL,AL-SEC,4402397610,0.084,44.761,1765,22288,USIBOR® 1500 Conv to 1300T950Y,,"Dents from pot, SPM on/off",24,53,2130014,0.231,1.1627,0.0074,0.0017,0.2407,0.0521,0.0524,0.0377,0.0013,0.0031,0.0045,0.0005,0.0063,0.1967,0.0005,0.0052,0.0043,0.0008,0.0036
